url,type,originalFileBytes,decodedResourceBytes,downloadedBytes,width,height,initial,position,isLcp
"http://localhost:3100/images/products/ZADNAC%20P.webp","Image",471494,471494,471778,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ZATRIL%2010.webp","Image",510216,510216,510500,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ZEFIX%20200.webp","Image",518308,518308,518592,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ZEFIX%20DLX%20200.webp","Image",394386,394386,394670,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ZOLAR%20DSR.webp","Image",436600,436600,436884,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ZOLAR.webp","Image",497382,497382,497666,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ZOLNAC.webp","Image",521880,521880,522164,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/Hero/hero.webp","Image",92168,92168,92451,1672,941,true,"above fold",false
"https://images.unsplash.com/photo-1532187863486-abf9dbad1b69?q=80&w=2000&auto=format&fit=crop","Image","",266820,267368,2000,1333,true,"below fold",false
"http://localhost:3100/?_rsc=7h4NYy5eoyMcNlUN","Fetch",0,2651,1366,"","",true,"not applicable",false
"http://localhost:3100/?_rsc=yIp22O3xgPPxC28X","Fetch",0,3664,1864,"","",true,"not applicable",false
"http://localhost:3100/?_rsc=8nTjltbQWvg6NcbE","Fetch",0,1151,896,"","",true,"not applicable",false
"http://localhost:3100/favicon.ico?favicon.2vob68tjqpejf.ico","Other","",25931,26262,"","",true,"not applicable",false
